ID	label	region	name	name_full	hemi
0	background				
4	cortex_rh_area_32	cortex	area_32	area_32	rh
5	cortex_rh_area_25	cortex	area_25	subgenual_cortex	rh
8	cortex_rh_area_24a	cortex	area_24a	area_24a	rh
9	cortex_rh_area_24b	cortex	area_24b	area_24b	rh
10	cortex_rh_area_24c	cortex	area_24c	area_24c	rh
13	cortex_rh_area_24a_prime	cortex	area_24a_prime	area_24a'	rh
14	cortex_rh_area_24b_prime	cortex	area_24b_prime	area_24b'	rh
15	cortex_rh_area_24c_prime	cortex	area_24c_prime	area_24c'	rh
19	cortex_rh_area_10mr	cortex	area_10mr	rostral_medial_frontal_pole	rh
20	cortex_rh_area_10mc	cortex	area_10mc	caudal_medial_frontal_pole	rh
21	cortex_rh_area_10o	cortex	area_10o	orbital_frontal_pole	rh
23	cortex_rh_area_14r	cortex	area_14r	rostral_gyrus_rectus	rh
24	cortex_rh_area_14c	cortex	area_14c	caudal_gyrus_rectus	rh
28	cortex_rh_area_11m	cortex	area_11m	medial_area_11	rh
29	cortex_rh_area_11l	cortex	area_11l	lateral_area_11	rh
31	cortex_rh_area_13a/b	cortex	area_13a/b	areas_13a_and_13b	rh
32	cortex_rh_area_13m	cortex	area_13m	medial_area_13	rh
33	cortex_rh_area_13l	cortex	area_13l	lateral_area_13	rh
35	cortex_rh_area_12m	cortex	area_12m	medial_area_12	rh
36	cortex_rh_area_12o	cortex	area_12o	orbital_area_12	rh
39	cortex_rh_Iam/Iapm	cortex	Iam/Iapm	medial_agranular_insular_region	rh
41	cortex_rh_Iai	cortex	Iai	intermediate_agranular_insula_area	rh
42	cortex_rh_Ial	cortex	Ial	lateral_agranular_insula_area	rh
43	cortex_rh_Iapl	cortex	Iapl	posterior_lateral_agranular_insula_area	rh
45	cortex_rh_AON/TTv	cortex	AON/TTv	anterior_olfactory_cortex	rh
46	cortex_rh_OT/Pir	cortex	OT/Pir	posterior_olfactory_cortex	rh
48	cortex_rh_G	cortex	G	gustatory_cortex	rh
