ID	label	region	name	name_full	hemi	color	key_L1	name_L1	key_L2	name_L2	key_L3	name_L3
107	cortex_rh_vm_IPS	cortex	vm_IPS	ventromedial_intraparietal_sulcus (vm_IPS)	rh	#8CE4FF	90	Parietal_Lobe (Parietal)	96	superior_parietal_lobule (SPL)	107	ventromedial_intraparietal_sulcus (vm_IPS)
113	cortex_rh_lat_IPS	cortex	lat_IPS	lateral_intraparietal_sulcus (lat_IPS)	rh	#1D807E	90	Parietal_Lobe (Parietal)	112	inferior_parietal_lobule (IPL)	113	lateral_intraparietal_sulcus (lat_IPS)
119	cortex_rh_MST	cortex	MST	medial_superior_temporal_area (MST)	rh	#397B80	90	Parietal_Lobe (Parietal)	112	inferior_parietal_lobule (IPL)	119	medial_superior_temporal_area (MST)
120	cortex_rh_area_7_in_IPL	cortex	area_7_in_IPL	area_7_in_the_inferior_parietal_lobule (area_7_in_IPL)	rh	#8CF7FF	90	Parietal_Lobe (Parietal)	112	inferior_parietal_lobule (IPL)	120	area_7_in_the_inferior_parietal_lobule (area_7_in_IPL)
126	cortex_rh_area_7m	cortex	area_7m	area_7_(PGm)_on_the_medial_wall (area_7m)	rh	#1D8067	90	Parietal_Lobe (Parietal)	125	posterior_medial_cortex (PMC)	126	area_7_(PGm)_on_the_medial_wall (area_7m)
128	cortex_rh_PCC	cortex	PCC	posterior_cingulate_cortex (PCC)	rh	#8CFFC6	90	Parietal_Lobe (Parietal)	125	posterior_medial_cortex (PMC)	127	posterior_cingulate_gyrus (PCgG)
135	cortex_rh_RSC	cortex	RSC	retrosplenial_cortex (RSC)	rh	#A6FFD2	90	Parietal_Lobe (Parietal)	125	posterior_medial_cortex (PMC)	127	posterior_cingulate_gyrus (PCgG)
141	cortex_rh_HiF	cortex	HiF	hippocampal_formation (HiF)	rh	#1D8027	138	Temporal_Lobe (Temporal)	139	medial_temporal_lobe (MTL)	140	hippocampus (HC)
147	cortex_rh_preS/paraS	cortex	preS/paraS	presubiculum_and_parasubiculum (preS/paraS)	rh	#00BF20	138	Temporal_Lobe (Temporal)	139	medial_temporal_lobe (MTL)	140	hippocampus (HC)
148	cortex_rh_paraHipp	cortex	paraHipp	parahippocampal_cortex (paraHipp)	rh	#7CFF73	138	Temporal_Lobe (Temporal)	139	medial_temporal_lobe (MTL)	148	parahippocampal_cortex (paraHipp)
